"sp","code","locality","latitude","longitude","host","date","collector"
"Abstrusomyzus_phloxae","CNCHEM112335","United States: Washington: Gilbreath Spring (Skyline Drive)",46.23,-117.77,"Erodium cicutarium","2004 . 9 . 8","G. Graf"
"Acyrthosiphon_boreale","CNCHEM011135","Canada: Ontario: Ottawa (Walkley Rd @ Albion N)",45.377,-75.655,"Potentilla recta","1996 . 6 . 13","Eric Maw"
"Acyrthosiphon_brachysiphon","CNCHEM057275","Canada: Manitoba: e of Churchill (Ramsay Creek)",58.732,-93.815,"Vaccinium uliginosum","2007 . 7 . 23","E.Maw/R.G. Foottit"
"Acyrthosiphon_churchillense","CNCHEM057394","Canada: Manitoba: e of Churchill (Twin Lakes (cross road))",58.619,-93.811,"Astragalus alpinus","2007 . 7 . 26","E.Maw/R.G. Foottit"
"Acyrthosiphon_macrosiphum","CNCHEM069939","United States: Colorado: Gateway (FSR 6-3/10 at 10-8/10)",38.699,-108.851,"Amelanchier","2010 . 6 . 25","Eric Maw/R.G. Foottit"
"Acyrthosiphon_purshiae","CNCHEM028871","Canada: British Columbia: e of Okanagan Falls (Forest Service Road 201)",49.319,-119.505,"Purshia tridentata","1999 . 7 . 16","Eric Maw/R.G. Foottit"
"Amphorophora_agathonica","CNCHEM006948","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Rubus strigosus","1991 . 8 . 4","Eric Maw"
"Amphorophora_forbesi","CNCHEM051388","United States: Washington: Olympic National Pk, Sol Duc Valley (trail)",47.963,-123.853,"Rubus spectabilis","2003 . 7 . 23","R.G. Foottit/K.S. Pike/G. Graf"
"Amphorophora_geranii","CNCHEM063359","Canada: Alberta: n of Twin Butte (Hwy 6 at tributary to Yarrow Creek)",49.286,-113.859,"Geranium viscosissimum","2009 . 7 . 4","R.G. Foottit/Eric Maw"
"Amphorophora_rubicumberlandi","CNCHEM032815","United States: Washington: e of White Pass (Hwy 12, just west of western jct with Tieton Rd.)",46.644,-121.263,"Rubus leucodermis","2000 . 7 . 10","Eric Maw/R.G. Foottit"
"Amphorophora_sensoriata","CNCHEM051502","Canada: Québec: Parc de la Gatineau (Sentier des Caryers; open area under power line)",45.448,-75.781,"Rubus occidentalis","2004 . 8 . 12","Eric Maw/Bryan Brunet"
"Aphidounguis_mali","CNCHEM054812","United States: Illinois: Lisle (Morton Arboretum)",41.812,-88.062,"Ulmus parvifolia","2001 . 6 . 3","Carol von Dohlen"
"Aphis_agastachyos","CNCHEM028737","United States: Utah: Cache National Forest (Hwy 89 at Swan Creek Rd)",41.959,-111.488,"Agastache urticifolia","1999 . 7 . 11","Eric Maw/R.G. Foottit"
"Aphis_astragalina","CNCHEM010130","Canada: Alberta: Smith (15 km nw jct Hwy 44 & 2)",55.131,-114.183,"Hedysarum alpinum","1995 . 6 . 29","Eric Maw"
"Aphis_boydstoni","CNCHEM026337","Canada: British Columbia: nw of Peachland (on Silver Lake Road)",49.766,-119.822,"Ceanothus velutinus","1998 . 8 . 14","Eric Maw"
"Aphis_caliginosa","CNCHEM007719","Canada: Ontario: Kingston, Westbrook (Hwy 401 picnic area e of Odessa)",44.282,-76.653,"Cornus racemosa","1994 . 6 . 11","Eric Maw"
"Aphis_canae","CNCHEM010471","Canada: Alberta: Drumheller (Royal Tyrell Museum of Paleontology)",51.479,-112.79,"Artemisia cana","1995 . 7 . 15","Eric Maw/R.G. Foottit"
"Aphis_ceanothi","CNCHEM026816","Canada: British Columbia: BC, (Little Slocan Forest Service Road south of Little Slocan Lake at Kosh Creek crossing)",49.631,-117.706,"Ceanothus velutinus","1998 . 8 . 12","R.G. Foottit/L.M. Humble"
"Aphis_cephalanthi","CNCHEM071350","Canada: Québec: Montréal (Jardin Botanique)",45.555,-73.555,"Cephalanthus occidentalis","2010 . 8 . 7","Claude Pilon"
"Aphis_clydesmithi","CNCHEM054828_2","United States: Idaho: Soda Springs",42.656,-111.603,"Carex","1994 . 8 . 5",
"Aphis_coreopsidis","CNCHEM006963","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,,"1991 . 8 . 5","Eric Maw"
"Aphis_cornifoliae","CNCHEM070071","Canada: Manitoba: w of Vita (Aggassiz interpretive trailhead)",49.138,-96.652,"Cornus","2010 . 7 . 11","Eric Maw"
"Aphis_crassicauda","CNCHEM007408","Canada: Ontario: Actinolite (Price Conservation Area (jct hwy 7 & 37))",45.449,-77.366,"Viburnum","1993 . 5 . 21","Eric Maw"
"Aphis_decepta","CNCHEM003824","Canada: Ontario: Halpenny",45.123,-76.296,,"1994 . 9 . 16","Eric Maw"
"Aphis_equiseticola","CNCHEM051613","Canada: Québec: n of La Corne (Hwy 111)",48.403,-78.002,"Equisetum","2004 . 8 . 25","Eric Maw/A. Badiss"
"Aphis_forbesi","CNCHEM071297","Canada: Québec: Repentigny (rue Des Érables)",45.717,-73.476,"Fragaria","2010 . 7 . 9","Claude Pilon"
"Aphis_holodisci","CHAN_2006_0132","Canada: British Columbia: Vancouver (UBC, trail nr Anthropology Museum)",49.269,-123.258,"Holodiscus discolor","2006 . 6 . 23","C.-K. Chan"
"Aphis_impatientis","CNCHEM003802","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Impatiens capensis","1994 . 9 . 1","Eric Maw"
"Aphis_infrequens","CNCHEM063430","Canada: Alberta: Lethbridge (Pavan Park)",49.756,-112.848,"Artemisia cana","2009 . 7 . 7","Eric Maw/R.G. Foottit"
"Aphis_lugentis","CNCHEM026254","Canada: British Columbia: Silver Star Provincial Park (west boundary)",50.343,-119.116,"Senecio triangularis","1998 . 8 . 13","Eric Maw"
"Aphis_lupini","CNCHEM039463","Canada: Alberta: Waterton Lakes National Park (lower Redrock Canyon Road)",49.087,-113.884,"Lupinus sericeus","2001 . 7 . 31","Eric Maw/R.G. Foottit"
"Aphis_maculatae","CNCHEM006018","Canada: New Brunswick: New Denmark (Maple Grove Cemetary)",47.012,-67.601,"Populus balsamifera","1993 . 8 . 2","Eric Maw/R.G. Foottit"
"Aphis_madderae","CNCHEM057319","Canada: Manitoba: s of Churchill (Goose Creek Rd, Marina)",58.661,-94.166,"Taraxacum lacerum","2007 . 7 . 25","E.Maw/R.G. Foottit"
"Aphis_manitobensis","CNCHEM007676","Canada: Ontario: Ottawa (1456 Heatherington Rd.)",45.373,-75.652,"Epilobium glandulosum","1993 . 8 . 17","Eric Maw"
"Aphis_masoni","CNCHEM057334","Canada: Manitoba: Churchill",58.773,-94.185,"Oxytropis campestris","2007 . 7 . 25","Eric Maw"
"Aphis_minima","CNCHEM049389","United States: Georgia: n of Carey (Oconee National Forest, Hwy 278, recreational site at Oconee Lake)",33.568,-83.272,"Prunus","2002 . 6 . 3","Maw/von Dohlen/Foottit/Rowe"
"Aphis_neilliae","CNCHEM049244","United States: North Carolina: Shooting Creek/Rainbow Springs (Buck Creek serpentine barrens)",35.086,-83.616,"Physocarpus opulifolius","2002 . 5 . 30","Maw/von Dohlen/Foottit/Rowe"
"Aphis_neogillettei","CNCHEM006056","Canada: New Brunswick: sw of Plaster Rock (gravel pit 1.1 km e of jct #390 & 108)",46.886,-67.428,"Cornus stolonifera","1993 . 8 . 2","Eric Maw/R.G. Foottit"
"Aphis_oestlundi","CNCHEM006239","Canada: Nova Scotia: Five Islands",45.412,-64.068,"Oenothera biennis","1993 . 8 . 5","Eric Maw/R.G. Foottit"
"Aphis_rubicola","CNCHEM007528","Canada: Prince Edward Island: Roseneath (Hwy 321 at jct 311)",46.219,-62.608,"Rubus strigosus","1993 . 6 . 24","Eric Maw/R.G. Foottit"
