Species,Genus,Host_Species,Host_Genus,Host_Family
Abstrusomyzus leucocrini,Abstrusomyzus,Leucocrinum montanum,Leucocrinum,Asparagaceae
Abstrusomyzus leucocrini,Abstrusomyzus,Achillea millefolium,Achillea,Asteraceae
Abstrusomyzus leucocrini,Abstrusomyzus,Phacelia nemoralis,Phacelia,Boraginaceae
Abstrusomyzus leucocrini,Abstrusomyzus,Stellaria cri,Stellaria,Caryophyllaceae
Abstrusomyzus leucocrini,Abstrusomyzus,Hypericum perfoliatum,Hypericum,Hypericaceae
Abstrusomyzus leucocrini,Abstrusomyzus,Potentilla gracilis,Potentilla,Rosaceae
Abstrusomyzus phloxae,Abstrusomyzus,Chenopodium acuminatum,Chenopodium,Amaranthaceae
Abstrusomyzus phloxae,Abstrusomyzus,Peucedanum NA,Peucedanum,Apiaceae
Abstrusomyzus phloxae,Abstrusomyzus,Apocynum androsaemifolium,Apocynum,Apocynaceae
Abstrusomyzus phloxae,Abstrusomyzus,Asclepias NA,Asclepias,Apocynaceae
Abstrusomyzus phloxae,Abstrusomyzus,Achillea millefolium,Achillea,Asteraceae
Abstrusomyzus phloxae,Abstrusomyzus,Agoseris NA,Agoseris,Asteraceae
Abstrusomyzus phloxae,Abstrusomyzus,Centaurea NA,Centaurea,Asteraceae
Abstrusomyzus phloxae,Abstrusomyzus,Capsella bursa-pastoris,Capsella,Brassicaceae
Abstrusomyzus phloxae,Abstrusomyzus,Cerastium glomeratum,Cerastium,Caryophyllaceae
Abstrusomyzus phloxae,Abstrusomyzus,Carex densa,Carex,Cyperaceae
Abstrusomyzus phloxae,Abstrusomyzus,Trifolium NA,Trifolium,Fabaceae
Abstrusomyzus phloxae,Abstrusomyzus,Erodium cicutarium,Erodium,Geraniaceae
Abstrusomyzus phloxae,Abstrusomyzus,Lilium NA,Lilium,Liliaceae
Abstrusomyzus phloxae,Abstrusomyzus,Plantago major,Plantago,Plantaginaceae
Abstrusomyzus phloxae,Abstrusomyzus,Phlox caespitosa,Phlox,Polemoniaceae
Abstrusomyzus phloxae,Abstrusomyzus,Phlox subulata,Phlox,Polemoniaceae
Abstrusomyzus phloxae,Abstrusomyzus,Polygonum paronychia,Polygonum,Polygonaceae
Abstrusomyzus phloxae,Abstrusomyzus,Polytrichum ,Polytrichum,Polytrichaceae
Abstrusomyzus phloxae,Abstrusomyzus,Ranunculus NA,Ranunculus,Ranunculaceae
Abstrusomyzus phloxae,Abstrusomyzus,Galium NA,Galium,Rubiaceae
Abstrusomyzus phloxae,Abstrusomyzus,Viola NA,Viola,Violaceae
Abstrusomyzus reticulatus,Abstrusomyzus,Oxalis stricta,Oxalis,Oxalidaceae
Abstrusomyzus valuliae,Abstrusomyzus,Fragaria virginiana,Fragaria,Rosaceae
Abstrusomyzus valuliae,Abstrusomyzus,Fragaria ,Fragaria,Rosaceae
Acacia alata,Acacia,Acacia NA,Acacia,Fabaceae
Acacia ataxacantha,Acacia,Acacia NA,Acacia,Fabaceae
Acacia jonesii,Acacia,Acacia NA,Acacia,Fabaceae
Acacia karroo,Acacia,Acacia NA,Acacia,Fabaceae
Acacia longifolia,Acacia,Acacia NA,Acacia,Fabaceae
Acacia murrayana,Acacia,Acacia NA,Acacia,Fabaceae
Acacia pennata,Acacia,Acacia NA,Acacia,Fabaceae
Acacia plumosa,Acacia,Acacia NA,Acacia,Fabaceae
Acacia rotundifolia,Acacia,Acacia NA,Acacia,Fabaceae
Acacia saligna,Acacia,Acacia NA,Acacia,Fabaceae
Acacia scorpioides,Acacia,Acacia NA,Acacia,Fabaceae
Acalypha alopecuroidea,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha alopecuroides,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha australis,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha capillipes,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha ciliata,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha godseffiana,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha havanensis,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha hispida,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha lanceolata,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha ornata,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha segetalis,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha villicaulis,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acalypha virginica,Acalypha,Acalypha NA,Acalypha,Euphorbiaceae
Acaudella puchovi,Acaudella,Atraphaxis caucasica,Atraphaxis,Polygonaceae
Acaudella puchovi,Acaudella,Atraphaxis spinosa,Atraphaxis,Polygonaceae
Acaudinum beheni,Acaudinum,Centaurea behen,Centaurea,Asteraceae
Acaudinum bulgaricum,Acaudinum,Centaurea solstitialis,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea arenaria,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea jacea,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea melitensis,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea nigra,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea orientalis,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea pelia,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea ruthenica,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea scabiosa,Centaurea,Asteraceae
Acaudinum centaureae,Acaudinum,Centaurea sphaerocephala,Centaurea,Asteraceae
Acaudinum longisetosum,Acaudinum,Achillea millefolium,Achillea,Asteraceae
Acaudinum longisetosum,Acaudinum,Centaurea jacea,Centaurea,Asteraceae
Acaudinum longisetosum,Acaudinum,Centaurea paniculata,Centaurea,Asteraceae
Acaudinum longisetosum,Acaudinum,Centaurea scabiosa,Centaurea,Asteraceae
Acaudinum longisetosum,Acaudinum,Centaurea stoebe,Centaurea,Asteraceae
Acaudinum roumanicum,Acaudinum,Centaurea stoebe,Centaurea,Asteraceae
Acutaspis paulista,Acutaspis,Poa annua,Poa,Poaceae
Acuticauda asterensis,Acuticauda,Solidago NA,Solidago,Asteraceae
Acuticauda asterensis,Acuticauda,Symphyotrichum ericoides,Symphyotrichum,Asteraceae
Acuticauda asterensis,Acuticauda,Symphyotrichum novi-belgii,Symphyotrichum,Asteraceae
Acuticauda asterensis,Acuticauda,Symphyotrichum ericoides,Symphyotrichum,Compositae
Acuticauda asterensis,Acuticauda,Symphyotrichum novi-belgii,Symphyotrichum,Compositae
Acuticauda asterensis,Acuticauda,Rheum rhaponticum,Rheum,Polygonaceae
Acuticauda asterensis,Acuticauda,Rubus allegheniensis,Rubus,Rosaceae
Acuticauda solidaginifoliae,Acuticauda,Solidago canadensis,Solidago,Asteraceae
Acuticauda solidaginifoliae,Acuticauda,Solidago ,Solidago,Compositae
Acutosiphon obliquoris,Acutosiphon,Cotula NA,Cotula,Asteraceae
Acutosiphon obliquoris,Acutosiphon,Carex filicina,Carex,Cyperaceae
Acutosiphon obliquoris,Acutosiphon,Cyperus NA,Cyperus,Cyperaceae
Acutosiphon obliquoris,Acutosiphon,Lyonia ovalifolia,Lyonia,Ericaceae
Acutosiphon obliquoris,Acutosiphon,Geranium NA,Geranium,Geraniaceae
Acutosiphon obliquoris,Acutosiphon,Fragaria nilgerrensis,Fragaria,Rosaceae
Acyrthosiphon arctogenicolens,Acyrthosiphon,Taraxacum arctogenum,Taraxacum,Compositae
Acyrthosiphon argus,Acyrthosiphon,Daphne odora,Daphne,Thymelaeaceae
Acyrthosiphon assiniboinense,Acyrthosiphon,Dasiphora fruticosa,Dasiphora,Rosaceae
Acyrthosiphon assiniboinense,Acyrthosiphon,Potentilla norvegica,Potentilla,Rosaceae
Acyrthosiphon assiniboinensis,Acyrthosiphon,Dasiphora fruticosa,Dasiphora,Rosaceae
Acyrthosiphon astragali,Acyrthosiphon,Astragalus NA,Astragalus,Fabaceae
Acyrthosiphon auctum,Acyrthosiphon,Thapsia garganica,Thapsia,Apiaceae
Acyrthosiphon auctum,Acyrthosiphon,Cakile edentula,Cakile,Brassicaceae
Acyrthosiphon auctum,Acyrthosiphon,Cakile maritima,Cakile,Brassicaceae
Acyrthosiphon auctum,Acyrthosiphon,Capsella bursa-pastoris,Capsella,Brassicaceae
Acyrthosiphon auctum,Acyrthosiphon,Cerastium nigrescens,Cerastium,Caryophyllaceae
Acyrthosiphon auctum,Acyrthosiphon,Honkenya peploides,Honkenya,Caryophyllaceae
Acyrthosiphon auctum,Acyrthosiphon,Silene uniflora,Silene,Caryophyllaceae
Acyrthosiphon auriculae,Acyrthosiphon,Primula glaucescens,Primula,Primulaceae
Acyrthosiphon auriculae,Acyrthosiphon,Primula marginata,Primula,Primulaceae
Acyrthosiphon auriculae,Acyrthosiphon,Primula palinuri,Primula,Primulaceae
Acyrthosiphon barri,Acyrthosiphon,Lactuca serriola,Lactuca,Compositae
Acyrthosiphon bidenticola,Acyrthosiphon,Acanthospermum NA,Acanthospermum,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Ambrosia artemisiifolia,Ambrosia,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Bidens pilosa,Bidens,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Erechtites valerianifolia,Erechtites,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Gamochaeta americana,Gamochaeta,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Lagascea NA,Lagascea,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Parthenium hysterophorus,Parthenium,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Sphagneticola trilobata,Sphagneticola,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Symphyotrichum subulatum,Symphyotrichum,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Tithonia diversifolia,Tithonia,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Viguiera dentata,Viguiera,Asteraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Salvia coccinea,Salvia,Lamiaceae
Acyrthosiphon bidenticola,Acyrthosiphon,Bocconia frutescens,Bocconia,Papaveraceae
Acyrthosiphon bidenticola,Acyrthosiphon,Priva lappulacea,Priva,Verbenaceae
Acyrthosiphon bistorti,Acyrthosiphon,Bistorta elliptica,Bistorta,Polygonaceae
Acyrthosiphon bistorti,Acyrthosiphon,Bistorta officinalis,Bistorta,Polygonaceae
Acyrthosiphon bistorti,Acyrthosiphon,Bistorta vivipara,Bistorta,Polygonaceae
Acyrthosiphon bistorti,Acyrthosiphon,Polygonum aviculare,Polygonum,Polygonaceae
Acyrthosiphon boreale,Acyrthosiphon,Euphorbia NA,Euphorbia,Euphorbiaceae
Acyrthosiphon boreale,Acyrthosiphon,Epilobium latifolium,Epilobium,Onagraceae
Acyrthosiphon boreale,Acyrthosiphon, ,,Poaceae
Acyrthosiphon boreale,Acyrthosiphon,Comarum palustre,Comarum,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Horkelia cuneata,Horkelia,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla anglica,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla anserina,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla argentea,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla aurea,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla chrysantha,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla collina,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla crantzii,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla erecta,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla gracilis,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla hispanica,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla hyparctica,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla inclinata,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla multifida,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla norvegica,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla patula,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla pedata,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla recta,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla reptans,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla sericea,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla supina,Potentilla,Rosaceae
Acyrthosiphon boreale,Acyrthosiphon,Potentilla tephroleuca,Potentilla,Rosaceae
Acyrthosiphon brachysiphon,Acyrthosiphon,Vaccinium myrtillus,Vaccinium,Ericaceae
Acyrthosiphon brachysiphon,Acyrthosiphon,Vaccinium uliginosum,Vaccinium,Ericaceae
Acyrthosiphon brachysiphon,Acyrthosiphon,Puccinellia nuttalliana,Puccinellia,Poaceae
Acyrthosiphon brevicorne,Acyrthosiphon,Dryas integrifolia,Dryas,Rosaceae
Acyrthosiphon brevicorne,Acyrthosiphon,Dryas octopetala,Dryas,Rosaceae
Acyrthosiphon capitellum,Acyrthosiphon,Fragaria vesca,Fragaria,Rosaceae
Acyrthosiphon caraganae,Acyrthosiphon,Acalypha wilkesiana,Acalypha,Euphorbiaceae
Acyrthosiphon caraganae,Acyrthosiphon,Anthyllis hermanniae,Anthyllis,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Astragalus boeticus,Astragalus,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Cajanus cajan,Cajanus,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana NA,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana arborescens,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana balchaschensis,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana frutex,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana microphylla,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana pygmaea,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana sinica,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana spinosa,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana turkestanica,Caragana,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Chamaecytisus glaber,Chamaecytisus,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Colutea arborescens,Colutea,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Colutea media,Colutea,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Colutea orientalis,Colutea,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Colutea persica,Colutea,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Coronilla valentina,Coronilla,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Cytisus scoparius,Cytisus,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Dorycnium pentaphyllum,Dorycnium,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Hippocrepis comosa,Hippocrepis,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Hippocrepis emerus,Hippocrepis,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Laburnum anagyroides,Laburnum,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Securigera varia,Securigera,Fabaceae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana arborescens,Caragana,Leguminosae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana ,Caragana,Leguminosae
Acyrthosiphon caraganae,Acyrthosiphon,Caragana pygmaea,Caragana,Leguminosae
Acyrthosiphon caraganae,Acyrthosiphon,Colutea arborescens,Colutea,Leguminosae
Acyrthosiphon caraganae,Acyrthosiphon,Halimodendron ,Halimodendron,Leguminosae
Acyrthosiphon caraganae,Acyrthosiphon,Medicago ,Medicago,Leguminosae
Acyrthosiphon caraganae,Acyrthosiphon,Acer saccharinum,Acer,Sapindaceae
Acyrthosiphon chelidonii,Acyrthosiphon,Chelidonium majus,Chelidonium,Papaveraceae
Acyrthosiphon churchillense,Acyrthosiphon,Hedysarum boreale,Hedysarum,Fabaceae
Acyrthosiphon churchillense,Acyrthosiphon,Melilotus albus,Melilotus,Fabaceae
Acyrthosiphon churchillense,Acyrthosiphon,Oxytropis borealis,Oxytropis,Fabaceae
Acyrthosiphon churchillense,Acyrthosiphon,Oxytropis campestris,Oxytropis,Fabaceae
