"Genus","species","Valid_binomial","Lat","Lon"
"Cinara",,"Cinara",49.05,-122.283
"Cinara",,"Cinara",49.3,-122.633
"Cinara",,"Cinara",45.989,-118.093
"Cinara",,"Cinara",46.91,-121.43
"Cinara",,"Cinara",49.633,-114.5
"Cinara",,"Cinara",50.01,-96.88
"Cinara",,"Cinara",50.01,-96.88
"Cinara",,"Cinara",50.01,-96.88
"Cinara",,"Cinara",50.01,-96.88
"Cinara",,"Cinara",50.01,-96.88
"Cinara",,"Cinara",40.988,-87.599
"Cinara",,"Cinara",81.817,-71.3
"Cinara",,"Cinara",81.817,-71.3
"Cinara",,"Cinara",81.817,-71.3
"Cinara",,"Cinara",50.091,-114.433
"Cinara",,"Cinara",49.898,-114.388
"Cinara",,"Cinara",49.898,-114.388
"Cinara",,"Cinara",49.657,-110.211
"Nasonovia",,"Nasonovia",51.02,-115.073
"Nasonovia",,"Nasonovia",51.02,-115.073
"Nasonovia",,"Nasonovia",51.854,-98.766
"Nasonovia",,"Nasonovia",49.86,-97.24
"Schizaphis",,"Schizaphis",49.86,-97.24
"Aphis",,"Aphis",50.038,-57.703
"Macrosiphum",,"Macrosiphum",62.45,-114.35
"Cinara",,"Cinara",62.45,-114.35
"Cinara",,"Cinara",62.45,-114.35
"Cinara",,"Cinara",60.717,-135.067
"Cinara",,"Cinara",61.217,-149.9
"Cedoaphis",,"Cedoaphis",15.5,-87.9
"Chaitophorus",,"Chaitophorus",15.5,-87.9
"Chaitophorus",,"Chaitophorus",15.5,-87.9
"Essigella",,"Essigella",45.377,-75.655
"Macrosiphum",,"Macrosiphum",58.732,-93.815
"Macrosiphum",,"Macrosiphum",52.413,-111.807
"Myzocallis",,"Myzocallis",51.167,-115.567
"Myzocallis",,"Myzocallis",51.48,-112.796
"Myzocallis",,"Myzocallis",51.38,-112.22
"Elatobium","abietinum","Elatobium abietinum",51.836,-113.018
"Elatobium","abietinum","Elatobium abietinum",53.532,-113.53
"Elatobium","abietinum","Elatobium abietinum",49.667,-110.283
"Elatobium","abietinum","Elatobium abietinum",52.51,-111.92
"Elatobium","abietinum","Elatobium abietinum",49.713,-112.71
"Elatobium","abietinum","Elatobium abietinum",49.713,-112.71
"Elatobium","abietinum","Elatobium abietinum",49.713,-112.71
"Elatobium","abietinum","Elatobium abietinum",49.694,-112.86
"Elatobium","abietinum","Elatobium abietinum",56.917,-117.617
"Elatobium","abietinum","Elatobium abietinum",52.026,-113.242
"Elatobium","abietinum","Elatobium abietinum",49.81,-112.17
"Elatobium","abietinum","Elatobium abietinum",52.143,-113.966
"Elatobium","abietinum","Elatobium abietinum",52.633,-122.45
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.26,-123.25
"Elatobium","abietinum","Elatobium abietinum",49.833,-99.95
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",49.883,-97.15
"Elatobium","abietinum","Elatobium abietinum",46,-66.317
"Elatobium","abietinum","Elatobium abietinum",46,-66.317
"Elatobium","abietinum","Elatobium abietinum",46,-66.317
"Elatobium","abietinum","Elatobium abietinum",46,-66.317
"Elatobium","abietinum","Elatobium abietinum",46,-66.317
"Elatobium","abietinum","Elatobium abietinum",46,-66.317
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Elatobium","abietinum","Elatobium abietinum",45.967,-66.65
"Pineus","abietinus","Pineus abietinus",45.967,-66.65
"Pineus","abietinus","Pineus abietinus",45.967,-66.65
"Pineus","abietinus","Pineus abietinus",45.967,-66.65
"Pineus","abietinus","Pineus abietinus",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.967,-66.65
"Adelges","abietis","Adelges abietis",45.965,-66.768
"Adelges","abietis","Adelges abietis",47.516,-52.785
"Adelges","abietis","Adelges abietis",44.641,-63.593
"Adelges","abietis","Adelges abietis",45.083,-64.5
"Adelges","abietis","Adelges abietis",48.5,-80.667
"Adelges","abietis","Adelges abietis",45.417,-75.7
"Adelges","abietis","Adelges abietis",45.417,-75.7
"Adelges","abietis","Adelges abietis",45.417,-75.7
"Adelges","abietis","Adelges abietis",45.417,-75.7
"Adelges","abietis","Adelges abietis",44.9,-76.25
"Adelges","abietis","Adelges abietis",44.907,-76.268
"Adelges","abietis","Adelges abietis",46.517,-84.333
"Adelges","abietis","Adelges abietis",46.7,-64.217
"Adelges","abietis","Adelges abietis",51.477,-102.738
"Adelges","abietis","Adelges abietis",53.117,-110
"Adelges","abietis","Adelges abietis",52.953,-108.766
"Adelges","abietis","Adelges abietis",50.746,-104.867
"Adelges","abietis","Adelges abietis",50.511,-103.685
"Adelges","abietis","Adelges abietis",50.511,-103.685
"Adelges","abietis","Adelges abietis",50.511,-103.685
"Adelges","abietis","Adelges abietis",50.511,-103.685
"Adelges","abietis","Adelges abietis",50.55,-103.883
"Adelges","abietis","Adelges abietis",60.717,-135.067
"Adelges","abietis","Adelges abietis",61.217,-149.9
"Adelges","abietis","Adelges abietis",61.6,-149.1
"Adelges","abietis","Adelges abietis",58.773,-94.185
"Adelges","abietis","Adelges abietis",58.773,-94.185
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.783,-94.183
"Adelges","abietis","Adelges abietis",58.763,-94.087
"Adelges","abietis","Adelges abietis",58.763,-94.087
"Adelges","abietis","Adelges abietis",58.619,-93.811
"Adelges","abietis","Adelges abietis",58.741,-93.823
"Adelges","abietis","Adelges abietis",58.64,-94.204
"Adelges","abietis","Adelges abietis",58.705,-94.052
"Adelges","abietis","Adelges abietis",62.45,-114.35
"Adelges","abietis","Adelges abietis",60.717,-135.067
"Adelges","abietis","Adelges abietis",60.717,-135.067
"Adelges","abietis","Adelges abietis",60.717,-135.067
"Adelges","abietis","Adelges abietis",32.005,-106.6
"Adelges","abietis","Adelges abietis",38.773,-112.083
"Adelges","abietis","Adelges abietis",46.119,-120.015
"Adelges","abietis","Adelges abietis",45.826,-119.984
"Adelges","abietis","Adelges abietis",46.292,-119.782
"Adelges","abietis","Adelges abietis",45.797,-120.066
"Adelges","abietis","Adelges abietis",45.797,-120.066
"Adelges","abietis","Adelges abietis",45.797,-120.066
"Adelges","abietis","Adelges abietis",49.713,-112.71
"Adelges","abietis","Adelges abietis",49.713,-112.71
"Adelges","abietis","Adelges abietis",49.713,-112.71
"Adelges","abietis","Adelges abietis",49.713,-112.71
"Adelges","abietis","Adelges abietis",49.713,-112.71
"Adelges","abietis","Adelges abietis",49.713,-112.71
"Adelges","abietis","Adelges abietis",49.713,-112.71
"Adelges","abietis","Adelges abietis",49.7,-112.817
"Adelges","abietis","Adelges abietis",49.7,-112.817
"Adelges","abietis","Adelges abietis",49.7,-112.817
"Adelges","abietis","Adelges abietis",49.2,-112.817
"Cinara","abietis","Cinara abietis",49.2,-112.817
"Coloradoa","abrotani","Coloradoa abrotani",49.09,-113.222
"Coloradoa","abrotani","Coloradoa abrotani",49.09,-113.222
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.246,-121.762
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",50.253,-118.886
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",50.667,-120.317
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",50.667,-120.317
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",50.233,-121.567
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",50.683,-121.933
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.78,-115.743
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.3,-122.633
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.167,-123.117
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.604,-115.869
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",48.55,-123.367
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",48.55,-123.367
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",48.75,-123.483
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",50.707,-122.288
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.183,-119.55
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.183,-119.55
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.183,-119.55
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.5,-119.583
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.6,-119.667
"Macrosiphoniella","abrotani","Macrosiphoniella abrotani",49.25,-123.12
"Coloradoa","absinthiella","Coloradoa absinthiella",49.26,-123.25
"Coloradoa","absinthiella","Coloradoa absinthiella",50.314,-119.265
"Coloradoa","absinthii","Coloradoa absinthii",49.341,-119.739
"Coloradoa","absinthii","Coloradoa absinthii",49.633,-97.133
"Coloradoa","absinthii","Coloradoa absinthii",49.6,-96
"Coloradoa","absinthii","Coloradoa absinthii",49.883,-97.15
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",49.883,-97.15
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",49.883,-97.15
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",45.135,-64.41
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",42.583,-80.6
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",42.861,-80.544
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",42.9,-79.6
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",42.9,-79.6
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",44.044,-79.593
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",42.033,-82.74
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",42.05,-82.6
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",42.989,-81.225
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",45.033,-75.902
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",43.185,-79.39
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",43.185,-79.39
"Macrosiphoniella","absinthii","Macrosiphoniella absinthii",43.185,-79.39
"Cinara","acadiana","Cinara acadiana",43.185,-79.39
"Cinara","acadiana","Cinara acadiana",43.185,-79.39
"Brachycaudus","acaudatus","Brachycaudus acaudatus",43.185,-79.39
"Brachycaudus","acaudatus","Brachycaudus acaudatus",43.185,-79.39
"Brachycaudus","acaudatus","Brachycaudus acaudatus",43.185,-79.39
"Brachycaudus","acaudatus","Brachycaudus acaudatus",43.185,-79.39
"Brachycaudus","acaudatus","Brachycaudus acaudatus",43.185,-79.39
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.185,-79.39
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.185,-79.39
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.185,-79.39
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.236,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.235,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.235,-79.166
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.239,-79.165
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.229,-79.127
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.192,-79.082
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.192,-79.082
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.192,-79.082
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.193,-79.082
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.193,-79.082
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.193,-79.082
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.193,-79.082
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.208,-79.19
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.256,-79.129
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.256,-79.13
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.257,-79.13
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.257,-79.13
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.257,-79.13
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.257,-79.129
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",45.417,-75.7
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",45.393,-75.717
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",42.972,-79.323
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",44,-77.133
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.176,-79.361
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.177,-79.36
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.177,-79.36
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.18,-79.29
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.181,-79.29
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",43.181,-79.29
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",45.555,-73.555
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",36.213,-121.125
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",40.402,-105.418
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",40.402,-105.418
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",31,-114.8
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",31,-114.8
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",42.141,-111.688
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.798,-116.874
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",41.855,-87.696
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.206,-68.334
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",44.883,-68.673
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.627,-68.012
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",41.139,-72.304
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.128,-119.945
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.332,-119.654
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.297,-118.828
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.696,-120.476
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",47.162,-120.841
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.453,-118.708
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",45.755,-120.625
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.289,-120.779
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",45.786,-120.1
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",45.838,-119.925
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",45.997,-120.3
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.244,-120.012
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",47.233,-119.276
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.303,-119.96
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.254,-119.737
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.254,-119.737
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.254,-119.737
"Drepanaphis","acerifoliae","Drepanaphis acerifoliae",46.254,-119.737
"Neoprociphilus","aceris","Neoprociphilus aceris",46.254,-119.737
"Neoprociphilus","aceris","Neoprociphilus aceris",46.254,-119.737
"Neoprociphilus","aceris","Neoprociphilus aceris",46.254,-119.737
"Neoprociphilus","aceris","Neoprociphilus aceris",46.285,-119.754
"Neoprociphilus","aceris","Neoprociphilus aceris",46.285,-119.754
"Neoprociphilus","aceris","Neoprociphilus aceris",46.292,-119.782
"Neoprociphilus","aceris","Neoprociphilus aceris",46.591,-117.904
