Aphid_genus,Host_use_breadth,Genus_diversity,Environmental_PC1,Environmental_PC2,Environmental_PC3
nasonovia,1.470756921,1.708618267,3.683355735,0.817115253,-1.355426986
macrosiphoniella,0.58748684,1.32974607,0.342480311,1.878356176,0.673586651
amphorophora,0.701627483,1.453036127,1.373766175,2.445098488,1.086294695
prociphilus,1.525016602,1.32974607,2.782677969,1.90688185,2.634688274
ericaphis,-0.296217847,0.856813546,6.270037929,-0.723598007,-2.603843402
pemphigus,0.799603204,1.47826958,1.318482481,-1.750696687,-0.626240513
aphis,2.764748539,2.129322826,2.229421189,-1.305070503,2.380570272
uroleucon,1.583881338,1.979374279,1.338177831,1.79065101,3.082096994
calaphis,0.654999445,0.856813546,2.438006037,2.842183975,2.010999397
wahlgreniella,0.070821452,-0.051341462,5.686760183,-2.084818549,-0.639762896
myzus,2.154473999,1.32974607,3.889667473,-0.059939567,1.696636116
thecabius,0.174261861,0.2410436,3.854877567,2.877885268,-0.532895762
essigella,-0.580971895,0.856813546,3.76545796,-4.621672742,-1.224743288
cachryphora,-1.674722865,-0.486596663,-3.71786562,2.538404715,4.337351347
capitophorus,1.153503016,1.091717609,1.992219467,2.317848335,0.514665329
eriosoma,0.501241016,1.32974607,1.392638395,1.129274355,1.179073383
macrosiphum,2.361576503,2.002158268,4.686109867,-0.56939333,0.929901851
dysaphis,0.991707742,0.947276967,2.450218374,-3.519595024,3.258772568
chaitophorus,0.799603204,1.5990218,2.41926752,1.409908686,-1.484004697
tinocallis,1.085549045,0.454193982,0.27989076,0.652592821,1.894893264
allaphis,-0.115822772,0.454193982,-0.500609327,0.002058902,-3.148264088
mindarus,0.299073316,0.454193982,5.748775452,0.496143325,-1.295899336
cinara,0.299073316,2.099771236,4.808888092,-0.408841137,-0.507572129
eucallipterus,0.070821452,-1.232612961,0.939545072,2.207044887,-2.014191027
rhopalosiphum,1.94965257,1.291588965,1.964765289,0.790300815,0.94077736
nearctaphis,1.420304152,0.947276967,0.956457114,1.051212516,-1.169266544
iziphya,-1.017994346,0.454193982,-6.537949676,-0.485264679,0.164126524
colopha,-0.580971895,-0.486596663,-6.09509034,2.774509525,2.716917963
drepanaphis,0.749758095,1.32974607,-1.795955761,1.048301525,3.468047187
hamamelistes,-0.580971895,-1.232612961,-3.700447127,4.794378347,1.097431922
pterocomma,0.58748684,1.202820412,2.992060555,-2.298494727,-1.483832664
anoecia,0.991707742,0.947276967,-1.726706706,2.287058008,1.76285755
carolinaia,0.221844748,0.74914321,-2.167891506,2.071577608,5.26017183
microparsus,-0.580971895,0.454193982,-2.66582503,2.504169073,5.355564977
rhodobium,-0.041104208,-1.232612961,0.212760174,-0.252820679,5.868677296
symydobius,-0.296217847,-0.051341462,0.083523446,6.306937167,-2.070479686
illinoia,1.085549045,1.645279148,2.714590822,2.698934577,-1.671344775
kaltenbachiella,-0.181631577,-1.232612961,-2.264978091,2.032018756,4.314992507
brachycaudus,1.801479914,0.947276967,4.347378092,-3.207963521,1.73828418
melanocallis,-0.580971895,-1.232612961,0.667122235,-2.812948692,4.409637281
euceraphis,0.408292694,0.856813546,3.227846808,4.562264691,-0.347120864
