"Internal_node_number","Environmental_PC1","Environmental_PC2","Environmental_PC3","Environmental_PC4","Environmental_PC5","Speciation_rates","Host_use_evolution_PC_1","Host_use_evolution_PC_2","Host_use_breadth_evolution"
373,89.00048291,0.613534694,1.625573956,1.086766729,2.055208262,2.399282553,2.415117791,2.145745379,1.44715839
374,-56.35216486,1.018363565,-0.282574559,0.801789167,0.757394462,0.143878491,1.221383404,1.120482268,0.293246625
375,-67.94043199,-1.030282328,-0.926284243,-1.242342573,-1.239336469,-1.293891069,-1.119195133,-0.532913789,-1.081688601
376,-30.74790299,0.552573183,-0.22960141,0.743610394,0.796580867,0.347004426,0.146702539,0.213307571,0.271928096
377,111.0785086,-0.296099218,0.451820037,-0.511952251,0.075611853,0.455036055,-0.361581736,-2.020329155,0.12517884
378,-101.8897792,-0.529298596,0.786049061,0.184150026,-1.270215708,0.035744743,2.163739444,1.951341948,0.505487304
379,72.74275983,-0.056836349,-0.054391164,-1.543540225,-0.035503178,-0.872239046,0.079429063,-1.456691934,-0.213002209
380,-103.8278096,1.285588505,0.373495006,1.329989646,-1.026434269,0.017651406,0.805202469,1.641184534,-0.504421859
381,65.69012843,0.152812806,1.212134314,1.313250792,0.147658046,1.979313004,0.871534345,1.102035627,1.194115972
382,-79.49823642,-1.380715842,-3.512924242,1.272609977,1.442944214,-0.992108273,-2.93795512,0.138548004,-0.859271714
383,-190.3549654,0.410676538,1.040917549,-1.442964453,-0.394252499,1.653280917,1.287171965,0.313823589,1.208443356
384,430.3758325,-4.515897429,-0.899413566,-2.332439933,-2.902097633,-4.675207861,-1.787061256,-0.851350815,-6.695246158
385,397.4850655,-0.568827215,-4.960205278,-1.639202899,-1.360227462,-2.707594196,-0.946576296,-1.836550239,-0.965636956
386,-156.2923681,-1.163476109,3.564067436,-0.305694832,-0.25670746,2.097078422,0.684462157,-0.86235753,0.501685207
387,-205.2237867,-0.878023461,1.403713166,-1.568243074,0.053358001,-1.56487972,0.400297113,-0.650720512,-0.149948772
388,-179.61028,-0.370561363,-2.249405114,0.129803188,-1.438244289,-1.078869376,-0.495811571,-0.809005866,-1.455989185
389,298.8787213,0.657291953,1.900578606,-1.310590938,-3.658887288,0.939915832,-0.919753717,0.943057281,0.419098977
390,-222.1113545,-1.610844539,-2.985315656,0.481596126,-0.159975648,-2.494094957,-0.075516458,-0.311543823,0.540198394
391,-536.5798356,1.882534427,-0.964022496,1.867646936,-2.351843367,2.991493316,1.300725987,-0.413951907,1.923716361
392,-277.8432652,0.931513576,0.137007095,1.934686423,-2.817551102,0.193059951,1.312279583,-0.330714191,1.492805735
393,53.46835063,-0.162218783,0.98251574,0.001136544,0.52058249,1.64880119,0.372845675,1.879918016,0.957497771
394,597.273805,-0.491044898,0.690428456,-2.106642515,0.067149586,-2.059553649,-0.37167569,-3.743631295,-0.905283991
395,-3.423289502,2.258789903,0.329519399,-3.784229839,-0.192359585,2.080695682,2.32556832,-0.051930577,1.267587951
396,-14.48144267,2.740890055,4.666111596,-0.823476197,0.298434796,-0.987295072,4.61268436,1.654501256,-0.117278387
397,-18.01916135,1.877634232,3.156805485,2.004677458,-1.108416562,1.483006186,0.855718884,-1.281902289,0.302455941
398,-39.25054373,5.896429684,3.779938366,2.988931163,7.73664621,6.788249839,8.073834427,4.724333189,9.747619014
399,-30.01712817,-1.845450639,1.239933402,-4.74491471,1.670935895,-4.723451832,1.498285594,5.592500976,-0.748934062
400,-19.16069079,5.942570631,2.730397921,2.321425559,4.896066621,0.587640157,4.447185919,4.283742196,3.798545434
401,-12.81817807,4.109569992,1.387481067,4.460080273,-1.030832644,2.948263628,6.046563583,2.860244913,6.787806498
402,3.844999059,5.785089892,-2.934084385,3.967985015,3.931138737,4.350016045,2.548046988,0.80640493,4.573836425
403,35.10487916,-5.343176034,-6.054279434,-5.543185342,-3.119305051,-4.306862747,-9.961519456,-4.168339199,-8.370761552
404,-28.34714284,-5.362208962,-11.21898348,8.567341701,-10.49058561,-13.23086187,-28.41606241,-35.12643789,-30.29642054
405,13.31101801,13.37851849,5.957127269,-5.200183298,-1.60362867,3.204664546,0.046839753,-1.435483689,0.149751919
406,13.42135153,-1.195870003,-2.644593273,-10.25235922,6.514137597,-9.177759709,6.121381269,-3.454407036,4.622031824
407,-93.89209802,7.622469782,33.33544993,10.93904749,-7.664963988,16.173439,30.40436466,17.54204578,5.183646405
408,378.9222516,-6.177350534,-0.099778834,0.139275459,-4.063095951,-2.943050644,-1.371838521,-5.64003464,-1.373372608
409,487.9452862,-3.922310165,0.202063203,0.460672712,0.555354618,-1.388786423,-3.214874018,-1.453419846,-3.257037393
410,-307.1582773,-2.98361969,-0.052786885,-1.706029138,-2.017133866,-2.901952283,2.77305095,1.487855389,0.825769596
411,351.6587873,0.882410279,-5.407078431,0.355932156,-3.328387442,-3.824006448,0.925653016,-0.463589913,-1.496909617
412,405.4907596,4.376080683,4.658339176,3.611799157,3.328869723,2.476498648,0.398349441,3.264919954,0.191810582
413,-74.95823385,-0.913917696,-7.740131117,-4.128672759,-0.865626504,-1.609187526,-3.608032791,-1.256943204,-2.215012382
414,44.50649235,-2.036377336,-1.27253023,-1.862662081,-2.062364029,0.726819214,1.298097665,-1.208942914,2.138238563
415,480.241677,6.044322542,2.845261085,-0.392361163,-1.626698639,2.824514135,1.620965316,2.663389268,1.218922272
416,-547.0248773,0.824005306,-0.623043478,1.689548351,1.707503636,-0.535557741,-0.44395324,0.418557935,-2.081655932
417,-177.2786323,-2.739295108,2.728562159,-1.399626318,-0.987544652,-1.908402786,-1.185489264,-2.112375897,-3.015216567
418,386.7185384,1.400826636,0.417757085,0.796929604,4.94176111,4.613266823,4.217434278,1.946381374,0.225317289
